Title,Metascore,Platform,Release Date
The Legend of Zelda: Ocarina of Time,99.0,N64,1998-11-23
Tony Hawk's Pro Skater 2,98.0,PS,2000-09-20
Grand Theft Auto IV,98.0,PS3,2008-04-29
SoulCalibur,98.0,DC,1999-09-08
Grand Theft Auto IV,98.0,X360,2008-04-29
Super Mario Galaxy,97.0,WII,2007-11-12
Super Mario Galaxy 2,97.0,WII,2010-05-23
Grand Theft Auto V,97.0,XONE,2014-11-18
Grand Theft Auto V,97.0,PS3,2013-09-17
Grand Theft Auto V,97.0,X360,2013-09-17
Tony Hawk's Pro Skater 2,97.0,DC,2000-11-06
The Legend of Zelda: Breath of the Wild,97.0,Switch,2017-03-03
Tony Hawk's Pro Skater 3,97.0,PS2,2001-10-28
Perfect Dark,97.0,N64,2000-05-22
Grand Theft Auto V,97.0,PS4,2014-11-18
Metroid Prime,97.0,GC,2002-11-17
Grand Theft Auto III,97.0,PS2,2001-10-22
Super Mario Odyssey,97.0,Switch,2017-10-27
Halo: Combat Evolved,97.0,XBOX,2001-11-14
NFL 2K1,97.0,DC,2000-09-07
Half-Life 2,96.0,PC,2004-11-16
Grand Theft Auto V,96.0,PC,2015-04-14
The Legend of Zelda: Breath of the Wild,96.0,WIIU,2017-03-03
BioShock,96.0,X360,2007-08-21
GoldenEye 007,96.0,N64,1997-08-25
Uncharted 2: Among Thieves,96.0,PS3,2009-10-13
Resident Evil 4,96.0,GC,2005-01-11
The Orange Box,96.0,X360,2007-10-10
The Orange Box,96.0,PC,2007-10-10
Batman: Arkham City,96.0,PS3,2011-10-18
Tekken 3,96.0,PS,1998-04-29
Mass Effect 2,96.0,X360,2010-01-26
The Legend of Zelda: Twilight Princess,96.0,GC,2006-12-11
The Elder Scrolls V: Skyrim,96.0,X360,2011-11-11
Half-Life,96.0,PC,1998-11-19
Resident Evil 4,96.0,PS2,2005-10-25
The Legend of Zelda: The Wind Waker,96.0,GC,2003-03-24
Gran Turismo,96.0,PS,1998-04-30
BioShock,96.0,PC,2007-08-21
Metal Gear Solid 2: Sons of Liberty,96.0,PS2,2001-11-12
Grand Theft Auto Double Pack,96.0,XBOX,2003-10-31
Baldur's Gate II: Shadows of Amn,95.0,PC,2000-09-24
Grand Theft Auto: San Andreas,95.0,PS2,2004-10-26
Grand Theft Auto: Vice City,95.0,PS2,2002-10-27
LittleBigPlanet,95.0,PS3,2008-10-27
The Legend of Zelda Collector's Edition,95.0,GC,2003-11-17
Red Dead Redemption,95.0,PS3,2010-05-18
Gran Turismo 3: A-Spec,95.0,PS2,2001-07-09
Halo 2,95.0,XBOX,2004-11-09
The Legend of Zelda: A Link to the Past,95.0,GBA,2002-12-03
The Legend of Zelda: Majora's Mask,95.0,N64,2000-10-25
The Last of Us,95.0,PS3,2013-06-14
The Legend of Zelda: Twilight Princess,95.0,WII,2006-11-19
